Job Title,Company Name,Job Tags,Salary Range,Date Posted,Location,Country,City,Job Category,Skills Found,Skills Count,All Skills List
Auditor Safety Security and Compliance,Aero,"Security, Security, System, System, Travel, Travel",💰 Upgrade to Premium to see salary,2026-01-24T00:02:03+00:00,US Remote,Us,Remote,Other,R,1,R
Proposal Manager,CAI,"Manager, Manager, Support, Support, Microsoft, Microsoft",💰 Upgrade to Premium to see salary,2026-01-24T00:01:56+00:00,United States,United States,Multiple locations,Support,R,1,R
Travel Product Researcher & Content Curator,Destination Knot,"Travel, Travel, Growth, Growth, Content, Content",💰 Upgrade to Premium to see salary,2026-01-24T00:01:49+00:00,Arizona,Arizona,Multiple locations,Other,R,1,R
Travel Booking Specialist,Destination Knot,"Travel, Travel, Training, Training, Non Tech, Non Tech",💰 Upgrade to Premium to see salary,2026-01-24T00:01:41+00:00,"Lexington, Kentucky","Lexington, Kentucky",Multiple locations,Data Science,R,1,R
Client Success Manager,HONK,"Manager, Manager, SaaS, SaaS, Training, Training",💰 Upgrade to Premium to see salary,2026-01-24T00:01:26+00:00,Remote,Remote,Remote,Data Science,R,1,R
Manager Program Strategy,Merit America,"Manager, Manager, Design, Design, Support, Support",💰 Upgrade to Premium to see salary,2026-01-24T00:01:19+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Support,R,1,R
Appointment Coordinator,AirSculpt,"Training, Training, Coordinator, Coordinator, Microsoft, Microsoft",💰 Upgrade to Premium to see salary,2026-01-24T00:01:08+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,R,1,R
Customer Experience Shift Manager,Ollie,"Manager, Manager, Training, Training, Director, Director",💰 Upgrade to Premium to see salary,2026-01-24T00:00:56+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,R,1,R
Hotel & Resort Reservation Specialist,Destination Knot,,💰 Upgrade to Premium to see salary,2026-01-24T00:00:47+00:00,"Chicago, Illinois","Chicago, Illinois",Multiple locations,Other,None identified,0,
Fully Customer Service Booking Hotels,Destination Knot,"Training, Training, Support, Support, Travel, Travel",💰 Upgrade to Premium to see salary,2026-01-24T00:00:40+00:00,New York,New York,Multiple locations,Data Science,R,1,R
Senior Software Engineer Risk,Mercury,"Software, Software, Design, Design, System, System",💰 Upgrade to Premium to see salary,2026-01-23T17:00:06+00:00,"San Francisco, CA","San Francisco, CA",Multiple locations,Software Development,R,1,R
Full Stack Software Engineer,Regard,"Software, Software, Full-Stack, Full-Stack, Healthcare, Healthcare",💰 Upgrade to Premium to see salary,2026-01-23T16:00:47+00:00,"New York, NY","New York, NY",Multiple locations,Software Development,R,1,R
Site Reliability Engineer,Mistral AI,"System, System, Security, Security, Training, Training",💰 Upgrade to Premium to see salary,2026-01-23T16:00:01+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,R,1,R
Medical Director,Precision for Medicine,"Director, Director, Training, Training, Support, Support",💰 Upgrade to Premium to see salary,2026-01-23T14:00:06+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,R,1,R
Mid level Designer,Rehire,"Design, Design, Designer, Designer, Content, Content",💰 Upgrade to Premium to see salary,2026-01-23T08:00:39+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Design,R,1,R
Senior Game Designer WWE Champions,Scopely,"Game, Game, Design, Design, Designer, Designer",💰 Upgrade to Premium to see salary,2026-01-23T05:00:15+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Design,R,1,R
Game Designer Star Trek Fleet Command,Scopely,"Game, Game, Design, Design, Gaming, Gaming",💰 Upgrade to Premium to see salary,2026-01-23T05:00:04+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Design,None identified,0,
Full Stack Engineer,Ubiminds,"Design, Design, SaaS, SaaS, System, System",💰 Upgrade to Premium to see salary,2026-01-23T00:01:55+00:00,Remote,Remote,Remote,Software Development,None identified,0,
Senior Program Coordinator Data Operations,Blueprint,"Coordinator, Coordinator, Support, Support, Strategy, Strategy",💰 Upgrade to Premium to see salary,2026-01-23T00:01:49+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Support,R,1,R
Middle Information Developer TSCM 43250,Eleks,"Developer, Developer, System, System, Consulting, Consulting",💰 Upgrade to Premium to see salary,2026-01-23T00:01:38+00:00,Poland,Poland,Multiple locations,Software Development,R,1,R
Senior IT Auditor PCI QSA,A-LIGN,"Consultant, Consultant, Lead, Lead, Senior, Senior",💰 Upgrade to Premium to see salary,2026-01-23T00:01:32+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Other,R,1,R
Technical Customer Support Associate,Narmi,"SaaS, SaaS, Technical, Technical, Support, Support",💰 Upgrade to Premium to see salary,2026-01-23T00:01:22+00:00,United States,United States,Multiple locations,Support,R,1,R
Sales Engineer LATAM,Alpaca,"Crypto, Crypto, Technical, Technical, Support, Support",💰 Upgrade to Premium to see salary,2026-01-23T00:01:16+00:00,LATAM,LATAM,Multiple locations,Sales,R,1,R
Principal Product UX Designer,Halcyon,"UX, UX, Design, Design, Security, Security",💰 Upgrade to Premium to see salary,2026-01-23T00:01:02+00:00,"Remote, US",Us,Remote,Design,R,1,R
Senior Executive Assistant the CEO,Agiloft,"Ceo, Ceo, Assistant, Assistant, Support, Support",💰 Upgrade to Premium to see salary,2026-01-23T00:00:52+00:00,United States,United States,Multiple locations,Support,R,1,R
2026 Associate Solution Consultant Malaysia,RainFocus,"Consultant, Consultant, Design, Design, SaaS, SaaS",💰 Upgrade to Premium to see salary,2026-01-23T00:00:44+00:00,Kuala Lumpur,Kuala Lumpur,Multiple locations,Other,None identified,0,
Digital Production Manager,FreeWill,"Manager, Manager, Support, Support, Management, Management",💰 Upgrade to Premium to see salary,2026-01-23T00:00:38+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Support,R,1,R
Quality Assurance Analyst,OppFi,"Analyst, Analyst, System, System, Speech, Speech",💰 Upgrade to Premium to see salary,2026-01-23T00:00:28+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,QA/Testing,None identified,0,
Software Engineer C,Octo Horizon,"Engineer, Engineer, Technical, Technical, Cloud, Cloud",💰 $120k - $180k,2026-01-22T00:00:02+00:00,🌏 Worldwide,🌏 Worldwide,Multiple locations,Software Development,R,1,R
Senior Lead Designer Web & Interactive,Bullish US LLC,"Web, Web, Design, Design, Jira, Jira",💰 Upgrade to Premium to see salary,2026-01-22T18:00:27+00:00,New York,New York,Multiple locations,Design,"Jira, R",2,Jira | R
Chief AGI Economist,DeepMind,"Strategy, Strategy, Lead, Lead, Senior, Senior",💰 Upgrade to Premium to see salary,2026-01-22T18:00:20+00:00,London,London,Multiple locations,Other,R,1,R
Senior React Native Developer,Orium,"React, React, Developer, Developer, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-22T18:00:08+00:00,Canada,Canada,Multiple locations,Software Development,"R, React",2,R | React
Senior Staff Software Engineer,NMI,"Software, Software, Design, Design, System, System",💰 Upgrade to Premium to see salary,2026-01-22T17:00:08+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Software Development,R,1,R
Data Conversion Engineer,Lumin Digital,"Technical, Technical, Support, Support, Test, Test",💰 Upgrade to Premium to see salary,2026-01-22T16:00:36+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Support,R,1,R
Senior Software Engineer Data Platform,MissionWired,"Software, Software, Support, Support, Senior, Senior",💰 Upgrade to Premium to see salary,2026-01-22T16:00:25+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Software Development,R,1,R
Technical Customer Support Representative,Froonze,"Technical, Technical, Marketing, Marketing, Full Time, Full Time",💰 $10k - $30k,2026-01-22T09:44:18+00:00,🌏 Worldwide,🌏 Worldwide,Multiple locations,Marketing,R,1,R
Japan Marketing Manager,"Manta Network, Powered by p0x labs","Manager, Manager, Web3, Web3, Crypto, Crypto",💰 Upgrade to Premium to see salary,2026-01-22T09:00:02+00:00,Tokyo,Tokyo,Multiple locations,Marketing,"R, Web3",2,R | Web3
Member of Product Core Experience,Anchorage Digital,"Design, Design, SaaS, SaaS, Crypto, Crypto",💰 Upgrade to Premium to see salary,2026-01-22T08:00:01+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Other,R,1,R
Software engineer,Sticker Mule,"Engineer, Engineer, Docker, Docker, Redis, Redis",💰 $140k - $150k,2026-01-22T00:00:10+00:00,🇪🇺 Europe,🇪🇺 Europe,Multiple locations,Software Development,"Docker, R, Redis",3,Docker | R | Redis
Senior Full Stack Engineer,AMK Solutions,"Developer, Developer",💰 $30k - $40k,2026-01-22T00:00:06+00:00,🌏 Worldwide,🌏 Worldwide,Multiple locations,Software Development,R,1,R
Freelance Economy Designer Black Budget,PUBG EMEA,"Game, Game, Designer, Designer, Support, Support",💰 Upgrade to Premium to see salary,2026-01-21T23:00:04+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Design,R,1,R
Brand Designer,Quantum Metric,"Design, Design, SaaS, SaaS, System, System",💰 Upgrade to Premium to see salary,2026-01-21T22:00:18+00:00,United States,United States,Multiple locations,Design,None identified,0,
Principal Product Designer,LumiQ,"Design, Design, Training, Training, Designer, Designer",💰 Upgrade to Premium to see salary,2026-01-21T22:00:08+00:00,Toronto,Toronto,Multiple locations,Data Science,R,1,R
Technical Project Manager,DataKind,"Manager, Manager, Technical, Technical, Support, Support",💰 Upgrade to Premium to see salary,2026-01-21T20:00:07+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Support,R,1,R
Technical Support Specialist,Adyen,"Technical, Technical, Support, Support, Financial, Financial",💰 Upgrade to Premium to see salary,2026-01-21T16:01:13+00:00,Amsterdam,MST Timezone,Amsterdam,Support,R,1,R
FrontEnd Engineer,ClearScore Technology Limited,"Front End, Front End, React, React, Teach, Teach",💰 Upgrade to Premium to see salary,2026-01-21T16:00:47+00:00,Cape Town,Cape Town,Multiple locations,Software Development,"R, React",2,R | React
Senior Software Development Engineer DevOps,Equip Health,"Software, Software, React, React, System, System",💰 Upgrade to Premium to see salary,2026-01-21T16:00:34+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,DevOps,"R, React",2,R | React
Contract Writer Black Budget,PUBG EMEA,"Game, Game, Writer, Writer, Support, Support",💰 Upgrade to Premium to see salary,2026-01-21T15:00:05+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Support,R,1,R
Customer Support Technician,SkySlope,"Technical, Technical, Support, Support, Software, Software",💰 Upgrade to Premium to see salary,2026-01-21T11:00:31+00:00,Remote,Remote,Remote,Support,R,1,R
Customer Service Representative,Beyond Finance,"Training, Training, Voice, Voice, Financial, Financial",💰 Upgrade to Premium to see salary,2026-01-21T11:00:16+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,R,1,R
Backend Developer,Evolve Tech LLC,"Developer, Developer, Design, Design, Front End, Front End",💰 Upgrade to Premium to see salary,2026-01-21T08:01:21+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Software Development,R,1,R
Technical Project Manager,Rula,"Manager, Manager, Technical, Technical, Support, Support",💰 Upgrade to Premium to see salary,2026-01-21T08:00:57+00:00,Los Angeles,Los Angeles,Multiple locations,Support,R,1,R
Growth Marketing Manager,InfStones,"Growth, Growth, Manager, Manager, Web3, Web3",💰 Upgrade to Premium to see salary,2026-01-21T08:00:10+00:00,Texas,Texas,Multiple locations,Marketing,"R, Web3",2,R | Web3
Product Line Manager Lending Solutions,"Pathward, N.A.","Manager, Manager, Embedded, Embedded, Financial, Financial",💰 Upgrade to Premium to see salary,2026-01-21T03:00:08+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Other,R,1,R
iOS Software Engineer,Fetch,"iOS, iOS, Software, Software, Mobile, Mobile",💰 Upgrade to Premium to see salary,2026-01-21T01:00:08+00:00,United States,United States,Multiple locations,Software Development,R,1,R
Senior Workforce Management Analyst,Cohere Health,"Analyst, Analyst, Support, Support, Financial, Financial",💰 Upgrade to Premium to see salary,2026-01-21T00:01:36+00:00,United States,United States,Multiple locations,Support,R,1,R
Senior Full Stack Software Engineer,Empassion,"Software, Software, Design, Design, System, System",💰 Upgrade to Premium to see salary,2026-01-21T00:01:17+00:00,"New York, NY","New York, NY",Multiple locations,Software Development,R,1,R
Revenue Operations Analyst,TrueML,"Analyst, Analyst, SaaS, SaaS, Salesforce, Salesforce",💰 Upgrade to Premium to see salary,2026-01-21T00:01:10+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Sales,"R, Salesforce",2,R | Salesforce
Software Engineer Core Platform,Cribl,"Software, Software, Security, Security, Support, Support",💰 Upgrade to Premium to see salary,2026-01-21T00:00:58+00:00,United States,United States,Multiple locations,Software Development,R,1,R
Account Manager Utilities Telecom Rail,Esri,"Manager, Manager, Telecom, Telecom, Non Tech, Non Tech",💰 Upgrade to Premium to see salary,2026-01-21T00:00:43+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,R,1,R
CUSTOMER SUCCESS MANAGER,Wishpond Technologies,"Manager, Manager, SaaS, SaaS, Training, Training",💰 Upgrade to Premium to see salary,2026-01-21T00:00:29+00:00,South Africa,South Africa,Multiple locations,Data Science,R,1,R
Product Developer & Engineer @ Fun Ecom Co,JLS Trading Co,"Engineer, Engineer, Product Designer, Product Designer, Product, Product",💰 $50k - $120k,2026-01-20T20:52:17+00:00,🌏 Worldwide,🌏 Worldwide,Multiple locations,Software Development,R,1,R
Ecosystem Operation Manager,Gate,"Manager, Manager, Design, Design, Crypto, Crypto",💰 Upgrade to Premium to see salary,2026-01-20T16:00:28+00:00,APAC-T1,APAC-T1,Multiple locations,Other,R,1,R
HR Coordinator,Smartbug Media,"HR, HR, Training, Training, Coordinator, Coordinator",💰 Upgrade to Premium to see salary,2026-01-20T16:00:12+00:00,"Remote, United States",United States,Remote,Data Science,R,1,R
Software Development Engineer III,GoCardless,"Software, Software, Technical, Technical, Support, Support",💰 Upgrade to Premium to see salary,2026-01-20T16:00:05+00:00,Lisbon,Lisbon,Multiple locations,Support,R,1,R
Fi Senior Embedded Software Engineer,Fi,"Embedded, Embedded, Software, Software, Senior, Senior",💰 Upgrade to Premium to see salary,2026-01-20T08:00:32+00:00,"Boston, MA OR New York, NY","Boston, MA OR New York, NY",Multiple locations,Software Development,R,1,R
Principal Engineer Pulumi Neo,Pulumi,"Design, Design, Security, Security, Code, Code",💰 Upgrade to Premium to see salary,2026-01-20T04:00:29+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Other,R,1,R
Staff Software Engineer DevProd,Temporal Technologies,"Software, Software, Design, Design, Support, Support",💰 Upgrade to Premium to see salary,2026-01-20T04:00:18+00:00,United States,United States,Multiple locations,Software Development,R,1,R
Senior Site Reliability Engineer Infrastructure,Underdog Sports,"System, System, Developer, Developer, Lead, Lead",💰 Upgrade to Premium to see salary,2026-01-20T04:00:06+00:00,United States,United States,Multiple locations,Software Development,R,1,R
Account Executive,Lone Wolf Technologies,"Support, Support, Software, Software, Growth, Growth",💰 Upgrade to Premium to see salary,2026-01-20T00:01:45+00:00,United States (Remote),United States,(Remote),Sales,R,1,R
Account Executive Italian Speaking,Quantum Metric,"SaaS, SaaS, Training, Training, Support, Support",💰 Upgrade to Premium to see salary,2026-01-20T00:01:37+00:00,Madrid,Madrid,Multiple locations,Data Science,R,1,R
Field Sales Representative,Ride Aventon,"Training, Training, Support, Support, Web, Web",💰 Upgrade to Premium to see salary,2026-01-20T00:01:30+00:00,New Hampshire,New Hampshire,Multiple locations,Data Science,R,1,R
Senior Product Marketing Manager,GoodLeap,"Manager, Manager, SaaS, SaaS, Training, Training",💰 Upgrade to Premium to see salary,2026-01-20T00:01:23+00:00,"Remote, US",Us,Remote,Data Science,R,1,R
Senior Software Engineer Data,Freshpaint,"Software, Software, Architect, Architect, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-20T00:01:17+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Software Development,R,1,R
Account Manager,Orennia,"Manager, Manager, Software, Software, Investment, Investment",💰 Upgrade to Premium to see salary,2026-01-20T00:01:10+00:00,"Texas, New York, California, Chicago","Texas, New York, California, Chicago",Multiple locations,Other,R,1,R
Insurance Follow Up Specialist Outpatient Infusion Therapy,IVX Health,"Support, Support, Medical, Medical, Full-Time, Full-Time",💰 Upgrade to Premium to see salary,2026-01-20T00:01:01+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Support,R,1,R
Senior Full Stack Software Engineer CRM,Circle.so,"Software, Software, Full-Stack, Full-Stack, Senior, Senior",💰 Upgrade to Premium to see salary,2026-01-20T00:00:52+00:00,Remote,Remote,Remote,Software Development,R,1,R
Healthcare Data Analyst,Zócalo Health,"Analyst, Analyst, System, System, Medical, Medical",💰 Upgrade to Premium to see salary,2026-01-20T00:00:42+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Analysis,None identified,0,
Experienced Quantitative Trader,Kronos Research,"Crypto, Crypto, Cryptocurrency, Cryptocurrency, Investment, Investment",💰 Upgrade to Premium to see salary,2026-01-19T20:00:17+00:00,Singapore,Singapore,Multiple locations,Other,R,1,R
Customer Success Manager Circle Plus,Circle.so,"Manager, Manager, Mobile, Mobile",💰 Upgrade to Premium to see salary,2026-01-19T20:00:06+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Support,R,1,R
Principal Network Integration Engineer,Skylo Technologies,"Design, Design, Architect, Architect, Cloud, Cloud",💰 Upgrade to Premium to see salary,2026-01-19T19:00:26+00:00,"Mountain View, CA","Mountain View, CA",Multiple locations,Other,R,1,R
Senior Software Engineer Java,CLEAR - Corporate,"Software, Software, Security, Security, Code, Code",💰 Upgrade to Premium to see salary,2026-01-19T19:00:16+00:00,"New York, New York","New York, New York",Multiple locations,Software Development,R,1,R
Senior Infrastructure Engineer,Peregrine Technologies,"Design, Design, Senior, Senior, Operational, Operational",💰 Upgrade to Premium to see salary,2026-01-19T19:00:06+00:00,"Washington, D.C.","Washington, D.C.",Multiple locations,Other,R,1,R
Senior Full Stack Engineer,Zinkworks,"Front End, Front End, Security, Security, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-19T16:01:25+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Software Development,R,1,R
Strategic Partnerships Account Manager,Wellhub,"Manager, Manager, Consultant, Consultant, Growth, Growth",💰 Upgrade to Premium to see salary,2026-01-19T16:01:13+00:00,Barcelona,Barcelona,Multiple locations,Other,R,1,R
Work From Home Hotel Reservations Customer Service,Destination Knot,"Training, Training, Support, Support, Travel, Travel",💰 Upgrade to Premium to see salary,2026-01-19T16:00:53+00:00,"Atlanta, Georgia","Atlanta, Georgia",Multiple locations,Data Science,R,1,R
Client Outreach Onboarding Coordinator,SimplyInsured,"Salesforce, Salesforce, Coordinator, Coordinator, Support, Support",💰 Upgrade to Premium to see salary,2026-01-19T16:00:47+00:00,Remote,Remote,Remote,Sales,"R, Salesforce",2,R | Salesforce
Temporary Payroll Tax Accountant,Angi,"Accountant, Accountant, Payroll, Payroll, Manager, Manager",💰 Upgrade to Premium to see salary,2026-01-19T16:00:35+00:00,Colorado,Colorado,Multiple locations,Finance,R,1,R
Client Retention Specialist,Beyond Finance,"Financial, Financial, Finance, Finance, Non Tech, Non Tech",💰 Upgrade to Premium to see salary,2026-01-19T14:00:06+00:00,Remote,Remote,Remote,Finance,None identified,0,
Senior Cloud Infrastructure Engineer Kubernetes,Camunda,"SaaS, SaaS, Support, Support, Code, Code",💰 Upgrade to Premium to see salary,2026-01-19T12:00:21+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,DevOps,R,1,R
Senior Sales Engineer West,Dataiku Misc Postings,"Design, Design, Technical, Technical, Lead, Lead",💰 Upgrade to Premium to see salary,2026-01-19T12:00:14+00:00,Austin,Us,Atin,Sales,None identified,0,
Senior Software Engineer II,SpotOn: Product,"Software, Software, Management, Management, Senior, Senior",💰 Upgrade to Premium to see salary,2026-01-19T12:00:04+00:00,"Chicago, IL","Chicago, IL",Multiple locations,Software Development,R,1,R
Director of Engineering Founding Engineer India,Alpaca,"Director, Director, Crypto, Crypto, Architect, Architect",💰 Upgrade to Premium to see salary,2026-01-19T07:00:12+00:00,India,India,Multiple locations,Other,R,1,R
Sales Development Representative,Bounteous,"Security, Security, Consultancy, Consultancy, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-19T00:00:41+00:00,United States,United States,Multiple locations,Sales,R,1,R
Account Executive Ohio,LangChain,"Technical, Technical, Support, Support, Software, Software",💰 Upgrade to Premium to see salary,2026-01-19T00:00:33+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Sales,R,1,R
SaaS Growth Marketer,Land Insights,"Marketing, Marketing, SaaS, SaaS, Full Time, Full Time",💰 $80k - $180k,2026-01-19T00:00:04+00:00,🌏 Worldwide,🌏 Worldwide,Multiple locations,Marketing,R,1,R
Client Retention Specialist,Beyond Finance,"Financial, Financial, Finance, Finance, Non Tech, Non Tech",💰 Upgrade to Premium to see salary,2026-01-18T16:00:43+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Finance,None identified,0,
Social Media Manager,Interactive Brokers,"Manager, Manager, Growth, Growth, Financial, Financial",💰 Upgrade to Premium to see salary,2026-01-18T16:00:38+00:00,"Greenwich, CT","Greenwich, CT",Multiple locations,Other,R,1,R
Security Infrastructure Engineer,Tailscale,"Security, Security, System, System, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-18T16:00:28+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Other,R,1,R
Senior Account Executive,Caylent,"Amazon, Amazon, Security, Security, Training, Training",💰 Upgrade to Premium to see salary,2026-01-18T16:00:15+00:00,Texas,Texas,Multiple locations,Data Science,R,1,R
AWS Technical Architect,"NeuraFlash, Part of Accenture","Architect, Architect, Amazon, Amazon, Salesforce, Salesforce",💰 Upgrade to Premium to see salary,2026-01-18T14:00:06+00:00,United States,United States,Multiple locations,DevOps,"R, Salesforce",2,R | Salesforce
Seeking Professionals for a New Approach an Old Industry,Global Elite Texas,"Security, Security, Training, Training, Architect, Architect",💰 Upgrade to Premium to see salary,2026-01-18T08:00:25+00:00,"Jacksonville, Florida","Jacksonville, Florida",Multiple locations,Data Science,R,1,R
Senior Software Engineer SELECT by DoiT,DoiT,"Software, Software, Growth, Growth, Cloud, Cloud",💰 Upgrade to Premium to see salary,2026-01-18T03:00:03+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Software Development,R,1,R
Staff Embedded Systems Engineer,Inspiren,"Embedded, Embedded, Architect, Architect, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-18T02:00:05+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Other,R,1,R
Senior eCommerce Manager,JuneShine Brands,"Manager, Manager, System, System, Growth, Growth",💰 Upgrade to Premium to see salary,2026-01-18T00:00:39+00:00,Remote U.S.,Remote U.S.,Multiple locations,Other,R,1,R
Software Engineer Full Stack,AllBooked,"Software, Software, Full-Stack, Full-Stack, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-18T00:00:32+00:00,Remote in Europe/Central European Timezone,Remote in Europe/Central European Timezone,Multiple locations,Software Development,R,1,R
AWS Solution Architect,"NeuraFlash, Part of Accenture","Architect, Architect, Amazon, Amazon, Salesforce, Salesforce",💰 Upgrade to Premium to see salary,2026-01-18T00:00:04+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,DevOps,"R, Salesforce",2,R | Salesforce
AWS Technical Architect,"NeuraFlash, Part of Accenture","Architect, Architect, Amazon, Amazon, Salesforce, Salesforce",💰 Upgrade to Premium to see salary,2026-01-17T22:00:05+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,DevOps,"R, Salesforce",2,R | Salesforce
Staff Software Engineer Cloud Infrastructure,Tenstorrent,"Software, Software, DevOps, DevOps, Cloud, Cloud",💰 Upgrade to Premium to see salary,2026-01-17T20:00:06+00:00,United States,United States,Multiple locations,Software Development,"Devops, R",2,Devops | R
Security Infrastructure Engineer,Tailscale,"Security, Security, System, System, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-17T17:00:07+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Other,R,1,R
Implementation Specialist Spanish Speaking,Roofr,"Training, Training, Sales, Sales, Non Tech, Non Tech",💰 Upgrade to Premium to see salary,2026-01-17T16:00:04+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,R,1,R
Software Engineering Intern,Emma – The Sleep Company,"Software, Software, Design, Design, Support, Support",💰 Upgrade to Premium to see salary,2026-01-17T12:00:02+00:00,Lisbon,Lisbon,Multiple locations,Software Development,R,1,R
Principal Product Manager,PolicyMe,"Manager, Manager, Design, Design, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-17T08:00:26+00:00,Ontario,Ontario,Multiple locations,Product Management,R,1,R
Product Manager Automotive Vertical,Conversica,"Manager, Manager, SaaS, SaaS, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-17T08:00:20+00:00,"United States, Remote",United States,United States,Product Management,R,1,R
Software Engineer I,Pattern Data,"Software, Software, Cto, Cto, Scala, Scala",💰 Upgrade to Premium to see salary,2026-01-17T04:00:06+00:00,US,Us,Multiple locations,Software Development,"R, Scala",2,R | Scala
Language instructor,AE Virtual Class S.A,"Edu, Edu",💰 $10k - $20k,2026-01-10T00:00:02+00:00,🌏 Worldwide,🌏 Worldwide,Multiple locations,Other,None identified,0,
Machine Learning Engineer,Fullscript,"Senior, Senior, Health, Health, Engineer, Engineer",💰 Upgrade to Premium to see salary,2026-01-16T19:00:12+00:00,"Toronto, ON","Toronto, ON",Multiple locations,Data Science,R,1,R
Clinical Operations Specialist,Mood Health,"System, System, Training, Training, Support, Support",💰 Upgrade to Premium to see salary,2026-01-16T19:00:05+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Data Science,R,1,R
Senior Machine Learning Engineer,Fetch,"Software, Software, Mobile, Mobile, Senior, Senior",💰 Upgrade to Premium to see salary,2026-01-16T14:00:06+00:00,United States,United States,Multiple locations,Data Science,R,1,R
VP of Engineering Institutional Trading,Alpaca,"Crypto, Crypto, Financial, Financial, Investment, Investment",💰 Upgrade to Premium to see salary,2026-01-16T12:00:06+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Other,R,1,R
Customer Solutions Engineer,Sysdig,"Security, Security, Consulting, Consulting, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-16T08:00:53+00:00,Flexible - USA,Usa,Flexible,Other,R,1,R
Account Executive SMB India,JumpCloud,"SaaS, SaaS, Security, Security, Technical, Technical",💰 Upgrade to Premium to see salary,2026-01-16T08:00:37+00:00,"Bangalore, India - Remote",India,Bangalore,Sales,R,1,R
Senior Manager Revenue Operations,OpenRouter,"Manager, Manager, Design, Design, Architect, Architect",💰 Upgrade to Premium to see salary,2026-01-16T08:00:30+00:00,🌏 Probably worldwide,🌏 Probably worldwide,Multiple locations,Other,R,1,R
Sales Development Representative,Guusto,"SaaS, SaaS, HR, HR, Software, Software",💰 Upgrade to Premium to see salary,2026-01-16T08:00:23+00:00,Remote,Remote,Remote,Sales,R,1,R
Staff Developer Advocate Platform Engineering,Temporal Technologies,"Developer, Developer, Technical, Technical, Software, Software",💰 Upgrade to Premium to see salary,2026-01-16T08:00:05+00:00,"Remote, United States",United States,Remote,Software Development,R,1,R
